Position,M_D_YYYY,TIME[HH:mm:ss],CO2[ppm],Temp[C],RH[%]
127,1/6/2020,09:49:40,740,17.7,54.1
128,1/6/2020,09:49:45,742,17.7,54.0
129,1/6/2020,09:49:50,743,17.7,54.0
130,1/6/2020,09:49:55,763,17.7,54.0
131,1/6/2020,09:50:00,783,17.7,53.9
132,1/6/2020,09:50:05,794,17.7,53.9
133,1/6/2020,09:50:10,807,17.8,53.8
134,1/6/2020,09:50:15,806,17.8,53.8
135,1/6/2020,09:50:20,808,17.8,53.7
136,1/6/2020,09:50:25,810,17.8,53.7
137,1/6/2020,09:50:30,811,17.8,53.7
138,1/6/2020,09:50:35,813,17.8,53.6
139,1/6/2020,09:50:40,813,17.8,53.6
140,1/6/2020,09:50:45,845,17.8,53.6
141,1/6/2020,09:50:50,867,17.9,53.5
142,1/6/2020,09:50:55,867,17.9,53.5
143,1/6/2020,09:51:00,866,17.9,53.5
144,1/6/2020,09:51:05,866,17.9,53.4
145,1/6/2020,09:51:10,865,17.9,53.4
146,1/6/2020,09:51:15,865,17.9,53.4
147,1/6/2020,09:51:20,866,17.9,53.4
148,1/6/2020,09:51:25,866,17.9,53.3
149,1/6/2020,09:51:30,867,18.0,53.3
150,1/6/2020,09:51:35,869,18.0,53.3
151,1/6/2020,09:51:40,881,18.0,53.2
152,1/6/2020,09:51:45,881,18.0,53.2
153,1/6/2020,09:51:50,905,18.0,53.2
154,1/6/2020,09:51:55,907,18.0,53.2
155,1/6/2020,09:52:00,908,18.0,53.1
156,1/6/2020,09:52:05,910,18.0,53.1
157,1/6/2020,09:52:10,916,18.0,53.1
158,1/6/2020,09:52:15,913,18.0,53.1
159,1/6/2020,09:52:20,913,18.1,53.0
160,1/6/2020,09:52:25,912,18.0,53.0
161,1/6/2020,09:52:30,912,18.1,53.0
162,1/6/2020,09:52:35,913,18.1,53.0
163,1/6/2020,09:52:40,913,18.1,52.9
164,1/6/2020,09:52:45,914,18.1,52.9
165,1/6/2020,09:52:50,914,18.1,52.9
166,1/6/2020,09:52:55,936,18.1,52.8
167,1/6/2020,09:53:00,936,18.1,52.8
168,1/6/2020,09:53:05,936,18.1,52.8
169,1/6/2020,09:53:10,935,18.2,52.8
170,1/6/2020,09:53:15,935,18.2,52.8
171,1/6/2020,09:53:20,935,18.2,52.8
172,1/6/2020,09:53:25,935,18.2,52.7
173,1/6/2020,09:53:30,935,18.2,52.7
174,1/6/2020,09:53:35,935,18.2,52.7
175,1/6/2020,09:53:40,935,18.2,52.7
176,1/6/2020,09:53:45,935,18.2,52.7
177,1/6/2020,09:53:50,935,18.2,52.6
178,1/6/2020,09:53:55,936,18.2,52.6
179,1/6/2020,09:54:00,937,18.2,52.6
180,1/6/2020,09:54:05,938,18.2,52.6
181,1/6/2020,09:54:10,939,18.3,52.6
182,1/6/2020,09:54:15,941,18.3,52.6
183,1/6/2020,09:54:20,942,18.3,52.5
184,1/6/2020,09:54:25,944,18.3,52.5
185,1/6/2020,09:54:30,945,18.3,52.5
186,1/6/2020,09:54:35,945,18.3,52.4
187,1/6/2020,09:54:40,945,18.3,52.4
188,1/6/2020,09:54:45,945,18.3,52.4
189,1/6/2020,09:54:50,945,18.3,52.4
190,1/6/2020,09:54:55,945,18.3,52.4
191,1/6/2020,09:55:00,945,18.3,52.4
192,1/6/2020,09:55:05,945,18.4,52.4
193,1/6/2020,09:55:10,945,18.3,52.4
194,1/6/2020,09:55:15,945,18.4,52.3
195,1/6/2020,09:55:20,944,18.4,52.3
196,1/6/2020,09:55:25,944,18.4,52.3
197,1/6/2020,09:55:30,942,18.4,52.3
198,1/6/2020,09:55:35,943,18.4,52.2
199,1/6/2020,09:55:40,943,18.4,52.2
200,1/6/2020,09:55:45,944,18.4,52.2
201,1/6/2020,09:55:50,945,18.4,52.2
202,1/6/2020,09:55:55,945,18.4,52.2
203,1/6/2020,09:56:00,946,18.4,52.2
204,1/6/2020,09:56:05,946,18.4,52.1
205,1/6/2020,09:56:10,948,18.4,52.1
206,1/6/2020,09:56:15,949,18.4,52.1
207,1/6/2020,09:56:20,950,18.5,52.1
208,1/6/2020,09:56:25,968,18.5,52.1
209,1/6/2020,09:56:30,969,18.5,52.1
210,1/6/2020,09:56:35,969,18.5,52.1
211,1/6/2020,09:56:40,970,18.5,52.1
212,1/6/2020,09:56:45,970,18.5,52.0
213,1/6/2020,09:56:50,969,18.5,52.0
214,1/6/2020,09:56:55,968,18.5,52.0
215,1/6/2020,09:57:00,968,18.5,52.0
216,1/6/2020,09:57:05,967,18.5,52.0
217,1/6/2020,09:57:10,967,18.5,51.9
218,1/6/2020,09:57:15,966,18.5,51.9
219,1/6/2020,09:57:20,966,18.5,51.9
220,1/6/2020,09:57:25,965,18.5,51.9
221,1/6/2020,09:57:30,965,18.5,51.9
222,1/6/2020,09:57:35,965,18.5,51.9
223,1/6/2020,09:57:40,965,18.5,51.8
224,1/6/2020,09:57:45,964,18.5,51.8
225,1/6/2020,09:57:50,964,18.5,51.8
226,1/6/2020,09:57:55,963,18.5,51.8
227,1/6/2020,09:58:00,962,18.5,51.8
228,1/6/2020,09:58:05,961,18.6,51.8
229,1/6/2020,09:58:10,961,18.6,51.8
230,1/6/2020,09:58:15,959,18.6,51.8
231,1/6/2020,09:58:20,960,18.6,51.7
232,1/6/2020,09:58:25,960,18.6,51.7
233,1/6/2020,09:58:30,959,18.6,51.7
234,1/6/2020,09:58:35,959,18.6,51.7
235,1/6/2020,09:58:40,959,18.6,51.7
236,1/6/2020,09:58:45,959,18.6,51.7
237,1/6/2020,09:58:50,959,18.6,51.7
238,1/6/2020,09:58:55,959,18.6,51.7
239,1/6/2020,09:59:00,959,18.6,51.7
240,1/6/2020,09:59:05,959,18.6,51.7
241,1/6/2020,09:59:10,959,18.6,51.7
242,1/6/2020,09:59:15,960,18.6,51.7
243,1/6/2020,09:59:20,961,18.6,51.6
244,1/6/2020,09:59:25,962,18.6,51.6
245,1/6/2020,09:59:30,963,18.7,51.6
246,1/6/2020,09:59:35,965,18.6,51.6
247,1/6/2020,09:59:40,966,18.6,51.6
248,1/6/2020,09:59:45,967,18.7,51.5
249,1/6/2020,09:59:50,968,18.7,51.5
250,1/6/2020,09:59:55,968,18.7,51.5
251,1/6/2020,10:00:00,969,18.7,51.5
252,1/6/2020,10:00:05,970,18.7,51.5
253,1/6/2020,10:00:10,971,18.7,51.5
254,1/6/2020,10:00:15,971,18.7,51.5
255,1/6/2020,10:00:20,971,18.7,51.5
256,1/6/2020,10:00:25,972,18.7,51.5
257,1/6/2020,10:00:30,973,18.7,51.5
258,1/6/2020,10:00:35,974,18.7,51.5
259,1/6/2020,10:00:40,974,18.7,51.4
260,1/6/2020,10:00:45,974,18.7,51.4
261,1/6/2020,10:00:50,973,18.7,51.4
262,1/6/2020,10:00:55,973,18.7,51.4
263,1/6/2020,10:01:00,972,18.7,51.4
264,1/6/2020,10:01:05,972,18.7,51.4
265,1/6/2020,10:01:10,972,18.7,51.4
266,1/6/2020,10:01:15,971,18.7,51.4
267,1/6/2020,10:01:20,972,18.7,51.3
268,1/6/2020,10:01:25,971,18.7,51.3
269,1/6/2020,10:01:30,971,18.7,51.3
270,1/6/2020,10:01:35,971,18.7,51.3
271,1/6/2020,10:01:40,970,18.8,51.3
272,1/6/2020,10:01:45,969,18.8,51.3
273,1/6/2020,10:01:50,968,18.8,51.3
274,1/6/2020,10:01:55,968,18.8,51.3
275,1/6/2020,10:02:00,968,18.8,51.3
276,1/6/2020,10:02:05,968,18.8,51.2
277,1/6/2020,10:02:10,968,18.8,51.2
278,1/6/2020,10:02:15,969,18.8,51.2
279,1/6/2020,10:02:20,970,18.8,51.2
280,1/6/2020,10:02:25,972,18.8,51.2
281,1/6/2020,10:02:30,973,18.8,51.2
282,1/6/2020,10:02:35,990,18.8,51.2
283,1/6/2020,10:02:40,988,18.8,51.2
284,1/6/2020,10:02:45,988,18.8,51.2
285,1/6/2020,10:02:50,987,18.8,51.2
286,1/6/2020,10:02:55,988,18.8,51.2
287,1/6/2020,10:03:00,988,18.8,51.2
288,1/6/2020,10:03:05,988,18.8,51.2
289,1/6/2020,10:03:10,988,18.8,51.2
290,1/6/2020,10:03:15,988,18.8,51.2
291,1/6/2020,10:03:20,988,18.8,51.1
292,1/6/2020,10:03:25,987,18.8,51.1
293,1/6/2020,10:03:30,987,18.8,51.1
294,1/6/2020,10:03:35,987,18.8,51.2
295,1/6/2020,10:03:40,987,18.8,51.2
296,1/6/2020,10:03:45,987,18.8,51.2
297,1/6/2020,10:03:50,987,18.8,51.2
298,1/6/2020,10:03:55,986,18.8,51.2
299,1/6/2020,10:04:00,986,18.8,51.2
300,1/6/2020,10:04:05,985,18.8,51.2
301,1/6/2020,10:04:10,985,18.9,51.2
302,1/6/2020,10:04:15,985,18.9,51.2
303,1/6/2020,10:04:20,984,18.9,51.2
304,1/6/2020,10:04:25,984,18.9,51.2
305,1/6/2020,10:04:30,985,18.9,51.2
306,1/6/2020,10:04:35,987,18.9,51.3
307,1/6/2020,10:04:40,988,18.9,51.3
308,1/6/2020,10:04:45,989,18.9,51.3
309,1/6/2020,10:04:50,990,18.9,51.4
310,1/6/2020,10:04:55,991,18.9,51.4
311,1/6/2020,10:05:00,992,18.9,51.4
312,1/6/2020,10:05:05,993,18.9,51.4
313,1/6/2020,10:05:10,994,18.9,51.4
314,1/6/2020,10:05:15,994,18.9,51.4
